Date,Views,Day_of_Week
2015-07-01,20.38,Wednesday
2015-07-02,20.75,Thursday
2015-07-03,19.57,Friday
2015-07-04,20.44,Saturday
2015-07-05,20.77,Sunday
2015-07-06,22.54,Monday
2015-07-07,21.21,Tuesday
2015-07-08,19.11,Wednesday
2015-07-09,19.99,Thursday
2015-07-10,20.2,Friday
2015-07-11,19.7,Saturday
2015-07-12,20.23,Sunday
2015-07-13,20.52,Monday
2015-07-14,19.7,Tuesday
2015-07-15,19.56,Wednesday
2015-07-16,19.66,Thursday
2015-07-17,18.99,Friday
2015-07-18,18.36,Saturday
2015-07-19,18.83,Sunday
2015-07-20,20.34,Monday
2015-07-21,19.74,Tuesday
2015-07-22,19.54,Wednesday
2015-07-23,19.62,Thursday
2015-07-24,18.64,Friday
2015-07-25,19.32,Saturday
2015-07-26,20.4,Sunday
2015-07-27,20.16,Monday
2015-07-28,19.89,Tuesday
2015-07-29,27.56,Wednesday
2015-07-30,18.5,Thursday
2015-07-31,17.93,Friday
2015-08-01,18.18,Saturday
2015-08-02,19.41,Sunday
2015-08-03,18.95,Monday
2015-08-04,20.53,Tuesday
2015-08-05,20.25,Wednesday
2015-08-06,20.06,Thursday
2015-08-07,19.12,Friday
2015-08-08,19.44,Saturday
2015-08-09,19.71,Sunday
2015-08-10,19.85,Monday
2015-08-11,18.37,Tuesday
2015-08-12,19.39,Wednesday
2015-08-13,19.19,Thursday
2015-08-14,19.45,Friday
2015-08-15,19.31,Saturday
2015-08-16,19.68,Sunday
2015-08-17,20.31,Monday
2015-08-18,20.08,Tuesday
2015-08-19,18.9,Wednesday
2015-08-20,19.09,Thursday
2015-08-21,18.9,Friday
2015-08-22,18.8,Saturday
2015-08-23,19.89,Sunday
2015-08-24,20.21,Monday
2015-08-25,18.56,Tuesday
2015-08-26,18.09,Wednesday
2015-08-27,17.86,Thursday
2015-08-28,17.29,Friday
2015-08-29,17.84,Saturday
2015-08-30,18.2,Sunday
2015-08-31,20.55,Monday
2015-09-01,18.08,Tuesday
2015-09-02,18.42,Wednesday
2015-09-03,17.85,Thursday
2015-09-04,17.48,Friday
2015-09-05,17.9,Saturday
2015-09-06,19.0,Sunday
2015-09-07,19.74,Monday
2015-09-08,19.65,Tuesday
2015-09-09,18.61,Wednesday
2015-09-10,18.07,Thursday
2015-09-11,18.56,Friday
2015-09-12,18.93,Saturday
2015-09-13,19.06,Sunday
2015-09-14,19.22,Monday
2015-09-15,19.27,Tuesday
2015-09-16,18.23,Wednesday
2015-09-17,18.2,Thursday
2015-09-18,17.71,Friday
2015-09-19,17.85,Saturday
2015-09-20,19.61,Sunday
2015-09-21,20.8,Monday
2015-09-22,18.83,Tuesday
2015-09-23,19.59,Wednesday
2015-09-24,17.95,Thursday
2015-09-25,17.81,Friday
2015-09-26,18.1,Saturday
2015-09-27,18.7,Sunday
2015-09-28,20.31,Monday
2015-09-29,17.54,Tuesday
2015-09-30,19.7,Wednesday
2015-10-01,18.84,Thursday
2015-10-02,18.54,Friday
2015-10-03,18.3,Saturday
2015-10-04,18.94,Sunday
2015-10-05,19.28,Monday
2015-10-06,18.27,Tuesday
2015-10-07,18.84,Wednesday
2015-10-08,19.05,Thursday
2015-10-09,18.44,Friday
2015-10-10,18.94,Saturday
2015-10-11,19.12,Sunday
2015-10-12,20.29,Monday
2015-10-13,19.56,Tuesday
2015-10-14,18.8,Wednesday
2015-10-15,18.82,Thursday
2015-10-16,17.87,Friday
2015-10-17,18.04,Saturday
2015-10-18,19.03,Sunday
2015-10-19,21.35,Monday
2015-10-20,20.67,Tuesday
